8001763173 = Verdict: Unsolved ; Iters: 3444692 ; Length: -1
8001775880 = Verdict: Solved ; Iters: 4135491 ; Length: -1
8001777458 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
8001795293 = Verdict: Solved ; Iters: 3794814 ; Length: -1
8001848859 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
8001850943 = Verdict: Unsolved ; Iters: 3231496 ; Length: -1
8001902592 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
8001904872 = Verdict: Unsolved ; Iters: 5103076 ; Length: -1
8001940302 = Verdict: Unsolved ; Iters: 5764960 ; Length: -1
8001953932 = Verdict: Unsolved ; Iters: 5187131 ; Length: -1
8001961754 = Verdict: Solved ; Iters: 9193540 ; Length: -1
8001974491 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
8001996711 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
8002018684 = Verdict: Solved ; Iters: 3201259 ; Length: -1
8002025417 = Verdict: Solved ; Iters: 4564329 ; Length: -1
8002051986 = Verdict: Solved ; Iters: 4810904 ; Length: -1
8002054964 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
8002065361 = Verdict: Unsolved ; Iters: 3671487 ; Length: -1
