845607 = Verdict: Unsolved ; Iters: 39183 ; Length: -1
863888 = Verdict: Unsolved ; Iters: 1242795 ; Length: -1
870409 = Verdict: Solved ; Iters: 1470870 ; Length: 135
878202 = Verdict: Unsolved ; Iters: 662042 ; Length: -1
881583 = Verdict: Solved ; Iters: 4267 ; Length: 101
883137 = Verdict: Solved ; Iters: 23531 ; Length: 104
888652 = Verdict: Solved ; Iters: 5459 ; Length: 116
909322 = Verdict: Unsolved ; Iters: 1842356 ; Length: -1
916941 = Verdict: Solved ; Iters: 177998 ; Length: 106
918915 = Verdict: Unsolved ; Iters: 1133217 ; Length: -1
933836 = Verdict: Unsolved ; Iters: 4859433 ; Length: -1
935363 = Verdict: Unsolved ; Iters: 7208 ; Length: -1
954784 = Verdict: Unsolved ; Iters: 1833773 ; Length: -1
967129 = Verdict: Unsolved ; Iters: 252365 ; Length: -1
974084 = Verdict: Solved ; Iters: 6906 ; Length: 95
984794 = Verdict: Unsolved ; Iters: 26041 ; Length: -1
994212 = Verdict: Unsolved ; Iters: 117611 ; Length: -1
998674 = Verdict: Unsolved ; Iters: 585065 ; Length: -1
1000510 = Verdict: Solved ; Iters: 1233 ; Length: 107
1003256 = Verdict: Unsolved ; Iters: 1367079 ; Length: -1
1009327 = Verdict: Unsolved ; Iters: 89663 ; Length: -1
1020751 = Verdict: Intractable ; Iters: 32000000 ; Length: -1
1035057 = Verdict: Intractable ; Iters: 32000000 ; Length: -1
1037681 = Verdict: Solved ; Iters: 34994 ; Length: 104
1039318 = Verdict: Solved ; Iters: 7929 ; Length: 102
1039393 = Verdict: Unsolved ; Iters: 1753669 ; Length: -1
1041142 = Verdict: Unsolved ; Iters: 19541 ; Length: -1
1059126 = Verdict: Solved ; Iters: 2065 ; Length: 105
1061825 = Verdict: Unsolved ; Iters: 1523068 ; Length: -1
1065712 = Verdict: Unsolved ; Iters: 22358 ; Length: -1
1072681 = Verdict: Solved ; Iters: 41354 ; Length: 126
1073511 = Verdict: Solved ; Iters: 2773 ; Length: 104
1074241 = Verdict: Unsolved ; Iters: 531906 ; Length: -1
1075378 = Verdict: Unsolved ; Iters: 3485580 ; Length: -1
1087816 = Verdict: Solved ; Iters: 48970 ; Length: 122
1088302 = Verdict: Solved ; Iters: 2774 ; Length: 103
1095786 = Verdict: Unsolved ; Iters: 165229 ; Length: -1
1099452 = Verdict: Unsolved ; Iters: 1109490 ; Length: -1
1110010 = Verdict: Unsolved ; Iters: 653456 ; Length: -1
1114520 = Verdict: Unsolved ; Iters: 2743352 ; Length: -1
1117627 = Verdict: Unsolved ; Iters: 2271224 ; Length: -1
1130287 = Verdict: Solved ; Iters: 176418 ; Length: 129
1135580 = Verdict: Unsolved ; Iters: 1615021 ; Length: -1
1138636 = Verdict: Unsolved ; Iters: 995629 ; Length: -1
1146227 = Verdict: Unsolved ; Iters: 511262 ; Length: -1
1153411 = Verdict: Unsolved ; Iters: 5939336 ; Length: -1
1171851 = Verdict: Unsolved ; Iters: 71375 ; Length: -1
1173400 = Verdict: Unsolved ; Iters: 562976 ; Length: -1
1175889 = Verdict: Solved ; Iters: 1367 ; Length: 109
1194832 = Verdict: Unsolved ; Iters: 410411 ; Length: -1
1208368 = Verdict: Unsolved ; Iters: 959242 ; Length: -1
1209065 = Verdict: Solved ; Iters: 1266 ; Length: 108
1209094 = Verdict: Unsolved ; Iters: 674666 ; Length: -1
1211132 = Verdict: Solved ; Iters: 6369 ; Length: 114
1214065 = Verdict: Solved ; Iters: 46061 ; Length: 112
1217122 = Verdict: Solved ; Iters: 15339 ; Length: 112
1218246 = Verdict: Unsolved ; Iters: 1698218 ; Length: -1
1223447 = Verdict: Solved ; Iters: 8964 ; Length: 130
1246454 = Verdict: Unsolved ; Iters: 2314845 ; Length: -1
1247807 = Verdict: Unsolved ; Iters: 662572 ; Length: -1
1250209 = Verdict: Solved ; Iters: 313999 ; Length: 115
1251140 = Verdict: Unsolved ; Iters: 202168 ; Length: -1
1268811 = Verdict: Unsolved ; Iters: 574051 ; Length: -1
1278187 = Verdict: Unsolved ; Iters: 101970 ; Length: -1
1280066 = Verdict: Unsolved ; Iters: 945923 ; Length: -1
1284227 = Verdict: Unsolved ; Iters: 5803865 ; Length: -1
1297672 = Verdict: Unsolved ; Iters: 616887 ; Length: -1
1300750 = Verdict: Unsolved ; Iters: 91611 ; Length: -1
1316667 = Verdict: Solved ; Iters: 217 ; Length: 100
1355398 = Verdict: Solved ; Iters: 18916 ; Length: 110
1369862 = Verdict: Solved ; Iters: 41445 ; Length: 113
1374113 = Verdict: Solved ; Iters: 1040342 ; Length: 118
1396418 = Verdict: Unsolved ; Iters: 464274 ; Length: -1
1402498 = Verdict: Unsolved ; Iters: 306972 ; Length: -1
1402675 = Verdict: Unsolved ; Iters: 13999 ; Length: -1
1413401 = Verdict: Solved ; Iters: 7668017 ; Length: 118
1427228 = Verdict: Unsolved ; Iters: 7873716 ; Length: -1
1427310 = Verdict: Unsolved ; Iters: 511191 ; Length: -1
1431900 = Verdict: Solved ; Iters: 6583 ; Length: 94
1437333 = Verdict: Unsolved ; Iters: 240525 ; Length: -1
1442019 = Verdict: Solved ; Iters: 1835787 ; Length: 119
1443681 = Verdict: Unsolved ; Iters: 689562 ; Length: -1
1459152 = Verdict: Unsolved ; Iters: 1460582 ; Length: -1
1463305 = Verdict: Solved ; Iters: 258218 ; Length: 114
1477893 = Verdict: Unsolved ; Iters: 140892 ; Length: -1
1479421 = Verdict: Unsolved ; Iters: 8205417 ; Length: -1
1480869 = Verdict: Solved ; Iters: 256118 ; Length: 99
1481257 = Verdict: Unsolved ; Iters: 636144 ; Length: -1
1483110 = Verdict: Unsolved ; Iters: 2024498 ; Length: -1
1493729 = Verdict: Unsolved ; Iters: 22659 ; Length: -1
1495516 = Verdict: Unsolved ; Iters: 79741 ; Length: -1
1500716 = Verdict: Unsolved ; Iters: 868285 ; Length: -1
1506295 = Verdict: Unsolved ; Iters: 387413 ; Length: -1
1507631 = Verdict: Unsolved ; Iters: 2792610 ; Length: -1
1528153 = Verdict: Unsolved ; Iters: 4826875 ; Length: -1
1528562 = Verdict: Unsolved ; Iters: 40907 ; Length: -1
1535462 = Verdict: Unsolved ; Iters: 1928324 ; Length: -1
1536228 = Verdict: Unsolved ; Iters: 718112 ; Length: -1
1537759 = Verdict: Unsolved ; Iters: 1904441 ; Length: -1
1557642 = Verdict: Unsolved ; Iters: 347874 ; Length: -1
1567804 = Verdict: Unsolved ; Iters: 840874 ; Length: -1
1568054 = Verdict: Unsolved ; Iters: 173562 ; Length: -1
1578897 = Verdict: Unsolved ; Iters: 799259 ; Length: -1
1587754 = Verdict: Solved ; Iters: 24140 ; Length: 98
1602766 = Verdict: Unsolved ; Iters: 141951 ; Length: -1
1614167 = Verdict: Unsolved ; Iters: 1119964 ; Length: -1
1626932 = Verdict: Unsolved ; Iters: 23699729 ; Length: -1
1629718 = Verdict: Unsolved ; Iters: 2349029 ; Length: -1
1636270 = Verdict: Unsolved ; Iters: 1651650 ; Length: -1
1652161 = Verdict: Solved ; Iters: 111328 ; Length: 112
1679024 = Verdict: Solved ; Iters: 6281 ; Length: 119
1692769 = Verdict: Unsolved ; Iters: 247552 ; Length: -1
1700103 = Verdict: Solved ; Iters: 48694 ; Length: 95
1701113 = Verdict: Unsolved ; Iters: 93667 ; Length: -1
1732350 = Verdict: Intractable ; Iters: 32000000 ; Length: -1
1743581 = Verdict: Unsolved ; Iters: 834288 ; Length: -1
1743877 = Verdict: Unsolved ; Iters: 1183866 ; Length: -1
1746626 = Verdict: Solved ; Iters: 677 ; Length: 100
1751089 = Verdict: Unsolved ; Iters: 299461 ; Length: -1
1753960 = Verdict: Unsolved ; Iters: 24820320 ; Length: -1
1756716 = Verdict: Unsolved ; Iters: 1634155 ; Length: -1
1756931 = Verdict: Solved ; Iters: 585 ; Length: 96
1762860 = Verdict: Unsolved ; Iters: 542724 ; Length: -1
1763495 = Verdict: Unsolved ; Iters: 262674 ; Length: -1
1763860 = Verdict: Unsolved ; Iters: 1840269 ; Length: -1
1764249 = Verdict: Unsolved ; Iters: 1033897 ; Length: -1
1775322 = Verdict: Unsolved ; Iters: 13255 ; Length: -1
