6000001918 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6000005890 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6000044664 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6000057080 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6000098247 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6000098251 = Verdict: Solved ; Iters: 3951233 ; Length: -1
6000112639 = Verdict: Unsolved ; Iters: 3649378 ; Length: -1
6000113807 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6000136677 = Verdict: Unsolved ; Iters: 8684910 ; Length: -1
6000159900 = Verdict: Solved ; Iters: 3925751 ; Length: -1
6000166430 = Verdict: Unsolved ; Iters: 6671082 ; Length: -1
6000168506 = Verdict: Solved ; Iters: 3144190 ; Length: -1
6000170350 = Verdict: Unsolved ; Iters: 5544056 ; Length: -1
6000193602 = Verdict: Unsolved ; Iters: 4166262 ; Length: -1
6000215514 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6000220607 = Verdict: Unsolved ; Iters: 5284495 ; Length: -1
6000229456 = Verdict: Unsolved ; Iters: 6594160 ; Length: -1
6000257677 = Verdict: Unsolved ; Iters: 8490272 ; Length: -1
6000295093 = Verdict: Solved ; Iters: 6653101 ; Length: -1
6000298196 = Verdict: Unsolved ; Iters: 7340582 ; Length: -1
6000302268 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6000309045 = Verdict: Unsolved ; Iters: 3210441 ; Length: -1
6000338637 = Verdict: Unsolved ; Iters: 3662177 ; Length: -1
6000362129 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6000374544 = Verdict: Unsolved ; Iters: 6293298 ; Length: -1
6000389639 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6000413836 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6000437998 = Verdict: Unsolved ; Iters: 9311998 ; Length: -1
6000457314 = Verdict: Unsolved ; Iters: 6867456 ; Length: -1
6000491542 = Verdict: Unsolved ; Iters: 5399529 ; Length: -1
6000548278 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6000550301 = Verdict: Unsolved ; Iters: 9262002 ; Length: -1
6000564309 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6000567063 = Verdict: Unsolved ; Iters: 4015484 ; Length: -1
6000574109 = Verdict: Solved ; Iters: 3703826 ; Length: -1
6000606029 = Verdict: Unsolved ; Iters: 3347574 ; Length: -1
6000645910 = Verdict: Solved ; Iters: 8223389 ; Length: -1
6000655521 = Verdict: Unsolved ; Iters: 7205873 ; Length: -1
6000670820 = Verdict: Unsolved ; Iters: 3524278 ; Length: -1
6000703267 = Verdict: Unsolved ; Iters: 6793475 ; Length: -1
6000705998 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6000713326 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6000717653 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6000726402 = Verdict: Unsolved ; Iters: 8948559 ; Length: -1
6000743579 = Verdict: Unsolved ; Iters: 3730748 ; Length: -1
6000798429 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6000812810 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6000813381 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6000815898 = Verdict: Unsolved ; Iters: 3542062 ; Length: -1
6000873871 = Verdict: Solved ; Iters: 4001467 ; Length: -1
6000883532 = Verdict: Unsolved ; Iters: 8051990 ; Length: -1
6000889730 = Verdict: Solved ; Iters: 4124868 ; Length: -1
6000911334 = Verdict: Unsolved ; Iters: 3038169 ; Length: -1
6000918468 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6000937184 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6000958076 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6000965891 = Verdict: Solved ; Iters: 6929475 ; Length: -1
6000966478 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6000970038 = Verdict: Solved ; Iters: 3075528 ; Length: -1
6000982041 = Verdict: Solved ; Iters: 9836859 ; Length: -1
6001003083 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6001032119 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6001033574 = Verdict: Unsolved ; Iters: 6150384 ; Length: -1
6001033929 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6001035705 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6001039876 = Verdict: Unsolved ; Iters: 3744998 ; Length: -1
6001044132 = Verdict: Unsolved ; Iters: 3095265 ; Length: -1
6001060923 = Verdict: Solved ; Iters: 4579702 ; Length: -1
6001149160 = Verdict: Unsolved ; Iters: 4553795 ; Length: -1
6001173382 = Verdict: Solved ; Iters: 4301056 ; Length: -1
6001177412 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6001201416 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6001227581 = Verdict: Unsolved ; Iters: 3802456 ; Length: -1
6001237272 = Verdict: Solved ; Iters: 7306433 ; Length: -1
6001260426 = Verdict: Solved ; Iters: 3074846 ; Length: -1
6001267007 = Verdict: Unsolved ; Iters: 3966450 ; Length: -1
6001269145 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6001269203 = Verdict: Unsolved ; Iters: 3002516 ; Length: -1
6001278164 = Verdict: Solved ; Iters: 5445956 ; Length: -1
6001281965 = Verdict: Unsolved ; Iters: 3230417 ; Length: -1
6001284602 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6001290247 = Verdict: Unsolved ; Iters: 3196122 ; Length: -1
6001292505 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6001293180 = Verdict: Unsolved ; Iters: 3751241 ; Length: -1
6001313572 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6001314348 = Verdict: Solved ; Iters: 3921428 ; Length: -1
6001331029 = Verdict: Unsolved ; Iters: 3371558 ; Length: -1
6001349665 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6001366249 = Verdict: Unsolved ; Iters: 3461877 ; Length: -1
6001367181 = Verdict: Unsolved ; Iters: 3757259 ; Length: -1
6001391654 = Verdict: Unsolved ; Iters: 4997239 ; Length: -1
6001427903 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6001431175 = Verdict: Solved ; Iters: 3017785 ; Length: -1
6001444821 = Verdict: Unsolved ; Iters: 6749837 ; Length: -1
6001454265 = Verdict: Solved ; Iters: 6392768 ; Length: -1
6001460237 = Verdict: Solved ; Iters: 7192557 ; Length: -1
6001462850 = Verdict: Unsolved ; Iters: 7833883 ; Length: -1
6001467508 = Verdict: Solved ; Iters: 6803121 ; Length: -1
6001467646 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6001474502 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6001499278 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6001503805 = Verdict: Unsolved ; Iters: 5042835 ; Length: -1
6001521308 = Verdict: Unsolved ; Iters: 4276212 ; Length: -1
6001525223 = Verdict: Unsolved ; Iters: 3676923 ; Length: -1
6001535363 = Verdict: Unsolved ; Iters: 5381863 ; Length: -1
6001569558 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6001583767 = Verdict: Unsolved ; Iters: 6192582 ; Length: -1
6001608379 = Verdict: Unsolved ; Iters: 7088435 ; Length: -1
6001701776 = Verdict: Unsolved ; Iters: 7174581 ; Length: -1
6001704612 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6001707201 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6001707234 = Verdict: Solved ; Iters: 4463706 ; Length: -1
6001726338 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6001740391 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6001752023 = Verdict: Unsolved ; Iters: 8259995 ; Length: -1
6001752396 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6001757678 = Verdict: Solved ; Iters: 5400902 ; Length: -1
6001766575 = Verdict: Unsolved ; Iters: 3840917 ; Length: -1
6001779315 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6001798287 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6001836475 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6001844837 = Verdict: Solved ; Iters: 5702963 ; Length: -1
6001846153 = Verdict: Unsolved ; Iters: 4007283 ; Length: -1
6001905582 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6001937237 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6001955397 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6001956001 = Verdict: Unsolved ; Iters: 4860299 ; Length: -1
6001963202 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6001977527 = Verdict: Unsolved ; Iters: 9256676 ; Length: -1
6001983974 = Verdict: Unsolved ; Iters: 5032869 ; Length: -1
6002009772 = Verdict: Unsolved ; Iters: 3707609 ; Length: -1
6002011204 = Verdict: Solved ; Iters: 4276227 ; Length: -1
6002025026 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6002029530 = Verdict: Intractable ; Iters: 10000000 ; Length: -1
6002057112 = Verdict: Solved ; Iters: 3622967 ; Length: -1
6002107137 = Verdict: Unsolved ; Iters: 8078545 ; Length: -1
6002108264 = Verdict: Unsolved ; Iters: 4897825 ; Length: -1
6002158635 = Verdict: Unsolved ; Iters: 5980616 ; Length: -1
